indice_tiempo,demanda_total,demanda_residencial,comercio_e_industria,grandes_usuarios,temperatura_promedio,potencia_maxima,ede_tucuman,edelap_sa,edenor_distribuidor,edesal_distribuidor,edestesa_emp_dist__este,edesur_distribuidor,emp_de_energia_de_rio_negro_sa,emp_dist_energ_atlantica,emp_de_energia_de_la_rioja_sa,emp_dist_energia_de_salta,emp_electric_misiones_sa,empresa_dis_estero_sa,empresa_jujenia_de_energia_sa,energia_de_catamarca_sa,energia_de_entre_rios_sa,energia_de_mendoza_sa,energia_san_juan_sa_exedessa,epec_distribuidor,epen_distribuidor,epesf_distribuidor,recursos_y_energia_formosa_sa,secheep,spse_santa_cruz
2001-01-01,6866.26,,,,25.432,13501.0,,,,,,,,,,,,,,,,,,,,,,,
2001-02-01,6473.1,,,,25.596,14061.0,,,,,,,,,,,,,,,,,,,,,,,
2001-03-01,6952.3,,,,22.852,13780.0,,,,,,,,,,,,,,,,,,,,,,,
2001-04-01,6183.35,,,,18.317,12866.0,,,,,,,,,,,,,,,,,,,,,,,
2001-05-01,6668.94,,,,14.306,12968.0,,,,,,,,,,,,,,,,,,,,,,,
2001-06-01,6559.16,,,,12.94,13639.0,,,,,,,,,,,,,,,,,,,,,,,
2001-07-01,6806.8,,,,11.542,13794.0,,,,,,,,,,,,,,,,,,,,,,,
2001-08-01,6531.18,,,,15.055,13030.0,,,,,,,,,,,,,,,,,,,,,,,
2001-09-01,6211.66,,,,14.69,12642.0,,,,,,,,,,,,,,,,,,,,,,,
2001-10-01,6268.03,,,,18.074,12365.0,,,,,,,,,,,,,,,,,,,,,,,
2001-11-01,6132.66,,,,20.007,12595.0,,,,,,,,,,,,,,,,,,,,,,,
2001-12-01,6448.414000000001,,,,23.013,12626.0,,,,,,,,,,,,,,,,,,,,,,,
2002-01-01,6471.69,,,,24.903,12296.0,,,,,,,,,,,,,,,,,,,,,,,
2002-02-01,5745.32,,,,23.252,13481.0,,,,,,,,,,,,,,,,,,,,,,,
2002-03-01,6462.13,,,,22.18,13481.0,,,,,,,,,,,,,,,,,,,,,,,
2002-04-01,5970.25,,,,17.463,12209.0,,,,,,,,,,,,,,,,,,,,,,,
2002-05-01,6320.57,,,,16.432,12444.0,,,,,,,,,,,,,,,,,,,,,,,
